Complex	Name	Name2	Label
Rpd3 HDAC	YDR155C	CPR1	NA
Rpd3 HDAC	YMR075W	RCO1	NA
Rpd3 HDAC	YNL330C	RPD3	NA
Rpd3 HDAC	YOL004W	SIN3	NA
Rpd3 HDAC	YPL139C	UME1	NA
Rpd3 HDAC	YPR023C	EAF3	NA
Rpd3 HDAC	YMR263W	SAP30	NA
Rpd3 HDAC	YNL097C	PHO23	NA
Rpd3 HDAC	YAL013W	DEP1	NA
Rpd3 HDAC	YBR095C	RXT2	NA
Rpd3 HDAC	YDL076C	RXT3	NA
Rpd3 HDAC	YIL084C	SDS3	NA
Rpd3 HDAC	YPL181W	CTI6	NA
Hda1C	YNL021W	HDA1	hda1
Hda1C	YDR295C	HDA2	hda2
Hda1C	YPR179C	HDA3	hda3
Histones	YBR010W	HHT1	NA
Histones	YNL031C	HHT2	NA
Histones	YDR225W	HTA1	NA
Histones	YBL003C	HTA2	NA
Histones	YDR224C	HTB1	NA
Histones	YBL002W	HTB2	NA
Histones	YBR009C	HHF1	NA
Histones	YNL030W	HHF2	NA
Protein Urmylation	YGL211W	NCS6	NA
Protein Urmylation	YHR111W	UBA4	NA
Protein Urmylation	YIL008W	URM1	NA
Protein Urmylation	YNL119W	NCS2	NA
Protein Urmylation	YNL229C	URE2	NA
CAF-I	YPR018W	CAC1	NA
CAF-I	YML102W	CAC2	cac2
CAF-I	YBR195C	CAC3	NA
SAGA HAT	YGR252W	GCN5	gcn5
SAGA HAT	YDR176W	NGG1	ngg1
SAGA HAT	YDR448W	ADA2	ada2
SAGA HAT	YCL010C	SGF29	NA
SAGA deubiquitinase	YMR223W	UBP8	ubp8
SAGA deubiquitinase	YPL047W	SGF11	NA
SAGA deubiquitinase	YGL066W	SGF73	sgf73
ISW2 chromatin remodeller	YOR304W	ISW2	NA
ISW2 chromatin remodeller	YGL133W	ITC1	NA
ISW2 chromatin remodeller	YJL065C	DLS1	NA
ISW2 chromatin remodeller	YJL065C	DPB4	NA
SWI/SNF	YDR073W	SNF11	NA
SWI/SNF	YNR023W	SNF12	NA
SWI/SNF	YOR290C	SNF2	NA
SWI/SNF	YBR289W	SNF5	NA
SWI/SNF	YHL025W	SNF6	NA
SWI/SNF	YPL016W	SWI1	NA
SWI/SNF	YJL176C	SWI3	NA
SWI/SNF	YFL049W	SWP82	NA
